,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,9771933,4379690,20523791,3105468,7886336,11317148,3323094,1880058,3205171,1357341,1520171,1592924,1613083,967859,688612,406024,384396,317007,288459,219073,177130,182823,111869,94802,90027,72675,66474,62155,52702,48269,41645,39229,30185,26797,25334,22062,20236,19178,17004,14736,13794,12208,10856,9882,9542,8426,7942,7543,6553,6136,5455,4995,4539,4228,4074,3644,3343,3288,2774,2674,2524,2280,2119,2041,1928,1689,1626,1477,1369,1327,1230,1109,1135,1090,975,886,855,839,779,754,701,653,622,598,533,535,467,479,451,464,421,364,372,364,335,343,314,270,270,267,230,244,245,241,204,197,204,169,185,201,162,147,138,134,148,146,136,134,119,124,90,118,123,100,99,96,80,102,82,90,92,85,70,56,73,56,57,56,55,55,57,49,52,40,39,28,40,38,33,36,33,28,26,27,21,26,31,20,21,21,21,20,17,27,20,11,16,16,10,12,11,13,16,6,14,10,16,13,8,8,4,7,5,9,5,8,8,7,9,3,4,8,5,5,6,6,7,0,3,4,4,2,5,1,4,1,0,2,2,3,2,3,2,1,0,0,1,1,0,0,1,1,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,1,1,2,1,1,1,1,2,1,1
1,140695,14312321,1021744,89211869,4296892,13264390,24125332,4950195,1234155,4217456,1091649,1268309,1258221,1713269,872926,664556,248587,265418,181146,196727,134340,74339,137498,60805,42141,48428,31272,28150,28930,21498,21854,14797,20447,12252,9054,10453,7906,6749,6980,6676,4591,5014,4291,3560,2714,3339,2753,2209,2533,2100,1739,1606,1530,1252,959,1113,1023,716,1075,646,670,680,469,497,395,493,373,359,339,252,280,244,214,235,208,222,159,185,207,124,142,120,115,108,96,91,95,85,80,62,72,61,58,37,60,52,53,45,43,50,47,31,28,28,35,30,31,19,25,32,24,28,16,21,24,20,17,11,11,11,11,13,13,16,9,14,18,10,12,11,8,8,12,6,2,7,4,7,7,7,4,6,11,3,10,2,3,5,1,5,3,2,9,4,1,0,3,1,7,0,4,2,8,4,1,0,1,2,3,4,0,2,0,1,1,2,2,0,3,0,1,2,1,2,0,2,0,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2,153177,1323112,6847985,1228214,43254728,3848960,9562835,14532957,3769971,1191041,3412757,1095011,1152760,1046606,1528271,717999,627080,259667,268552,178065,199221,137363,76922,138342,64340,43791,50236,32847,29254,29235,22048,22275,15134,20755,12595,9507,10809,8262,6995,6987,6703,4711,5017,4325,3509,2816,3369,2467,2058,2411,2047,1694,1648,1604,1393,1032,1171,977,746,1119,643,631,734,483,475,470,518,404,387,345,268,314,257,221,229,208,219,150,155,198,151,136,122,108,91,96,92,82,99,91,69,83,72,51,62,50,52,42,43,59,42,27,39,36,35,30,29,36,28,34,31,16,30,26,34,19,15,20,16,16,20,5,13,10,15,12,13,17,8,11,12,8,7,9,8,11,4,8,8,4,8,2,7,2,3,7,0,5,7,6,6,4,5,2,3,2,1,2,3,5,4,0,4,3,0,1,1,0,2,3,2,0,5,1,0,3,3,1,2,1,0,2,1,0,0,2,2,0,1,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,54290,483493,1125048,3779751,1046462,22472213,3039384,6661078,9206955,2767077,1041581,2657186,998119,975988,859879,1307363,601749,560763,249846,255691,165566,187813,132142,75280,132647,62820,43170,49121,32503,29303,28601,22352,22366,14801,20523,12483,9315,10652,8000,6924,6896,6513,4586,4889,4177,3415,2600,3304,2560,2167,2420,1995,1697,1679,1541,1290,1000,1197,997,740,1088,660,679,700,498,484,430,522,387,403,395,269,280,290,249,247,202,223,178,155,188,135,134,140,121,116,108,111,89,91,91,57,70,94,64,54,53,59,54,54,56,36,41,47,43,31,35,35,41,29,28,27,31,32,17,24,20,16,18,16,13,11,7,12,15,9,10,7,20,12,12,12,12,13,7,9,12,10,9,12,7,6,6,4,5,3,5,5,3,10,5,4,5,4,6,2,2,6,2,4,3,3,3,5,6,1,2,0,3,3,1,1,1,3,3,2,3,3,0,1,1,0,3,0,2,2,2,2,1,1,0,0,1,0,2,1,2,0,0,2,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,71743,261117,524492,872796,2339833,829468,12977968,2416443,4736780,6227899,2079539,884945,2070739,886569,817571,710552,1099752,505296,494264,231599,235942,152166,175059,124906,72277,125206,61515,41718,48004,31732,29185,27658,21793,22103,14597,20091,12445,9189,10325,7823,6832,6735,6486,4664,4892,4124,3435,2621,3236,2554,2161,2333,1969,1685,1638,1434,1264,944,1234,1000,710,1014,601,638,689,504,544,443,516,350,356,334,289,305,282,226,219,189,228,183,174,204,141,138,160,134,127,98,92,88,94,88,81,72,63,49,77,56,53,48,48,62,43,39,38,25,39,35,18,32,30,30,21,23,21,22,28,22,11,17,16,20,11,9,16,9,10,13,18,15,9,12,11,4,13,13,11,16,12,9,6,7,4,2,8,5,3,6,2,3,3,3,7,4,5,2,0,2,2,1,2,0,3,1,2,3,3,3,2,6,3,4,2,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,84882,107491,237290,448872,653043,1596796,646952,8250523,1909932,3443775,4394443,1595850,741680,1615515,778856,682686,587947,922300,427413,429062,212237,215253,139078,159706,117537,68007,116425,58794,40144,46121,30715,28033,26648,20993,21624,14100,19464,12052,9061,10235,7883,6633,6685,6361,4513,4909,4124,3432,2613,3105,2413,2166,2221,2068,1565,1627,1534,1238,964,1186,967,714,1034,609,638,691,457,515,380,533,380,354,362,267,275,294,195,237,217,228,165,169,191,159,162,137,96,137,108,106,108,80,83,79,81,68,62,62,57,54,61,57,46,51,33,39,32,35,49,23,33,25,28,29,24,29,23,30,30,17,19,19,23,18,12,6,13,15,24,9,17,11,14,11,11,6,7,2,17,4,1,5,6,8,2,8,7,6,4,6,9,7,2,6,1,8,4,4,1,1,3,0,2,3,3,2,1,4,3,4,3,1,0,1,0,1,1,3,1,0,4,1,2,0,2,1,1,2,1,2,0,1,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19192,193541,112651,190558,360021,496082,1163025,511850,5556220,1508534,2564584,3195967,1252316,620718,1272056,679511,569797,490002,775419,360310,371416,190736,195073,125608,144949,109239,63837,108040,55981,38674,43154,29688,27093,25669,20419,20803,14052,19220,11709,8976,10165,7923,6548,6568,6314,4473,4769,4187,3264,2507,3192,2382,2164,2287,1883,1632,1557,1399,1236,992,1115,993,689,1014,592,618,661,511,516,404,497,349,371,343,312,315,260,223,203,189,209,179,153,191,124,147,126,99,120,124,91,88,93,87,70,68,69,51,52,73,49,57,50,47,51,31,40,30,37,30,28,29,28,33,27,22,21,22,20,20,19,16,21,14,20,9,25,18,12,11,10,9,11,9,10,14,5,10,9,10,8,10,10,7,6,6,7,10,3,4,7,5,4,2,8,6,4,3,6,4,3,0,7,4,3,1,1,4,1,4,5,0,3,2,3,1,0,0,2,1,2,0,0,0,0,0,2,3,1,0,0,1,2,3,0,1,1,2,1,2,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21380,44843,184203,104290,147820,291407,384914,876563,409789,3952408,1204475,1940734,2380094,998676,521472,1011628,593390,477713,411629,651959,304125,322647,170886,175852,113151,130552,101036,59190,99324,52738,36137,40984,28332,25917,24006,19513,19928,13331,18270,11801,8685,9828,7601,6417,6381,6105,4338,4644,4009,3334,2523,3146,2346,2072,2170,1931,1612,1619,1405,1225,932,1131,913,747,1034,572,704,674,488,485,400,519,365,389,373,278,294,258,216,222,202,237,190,153,183,140,169,125,104,104,100,106,92,74,70,79,61,65,57,57,42,72,50,55,49,41,31,37,36,39,46,26,27,27,31,17,25,23,22,24,22,28,18,15,7,19,14,15,19,10,8,8,18,6,3,7,8,17,19,9,10,13,11,10,3,5,8,10,9,5,5,4,3,3,5,5,6,5,2,2,5,1,2,2,3,1,2,1,2,2,2,1,3,3,1,3,4,3,1,0,0,0,1,1,0,1,0,2,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,8258,28997,44923,156124,91437,115875,240418,304419,689412,332771,2929302,968311,1495973,1809106,806612,436930,812473,516058,401699,345968,550490,260223,279788,153327,158444,102008,117357,93354,54937,91031,48768,33734,38744,26925,24689,22676,18510,19361,12624,17518,11246,8400,9437,7462,6286,6163,5951,4405,4567,4028,3156,2520,3016,2342,1990,2226,1961,1530,1571,1456,1187,950,1109,990,658,1014,545,599,718,486,506,389,518,362,363,380,280,258,256,227,245,211,208,182,169,174,137,128,138,108,99,121,109,99,95,94,65,62,60,77,70,63,62,67,46,39,45,34,39,40,42,33,23,25,26,23,23,25,19,21,30,16,18,16,17,17,15,15,15,17,13,17,13,12,9,4,12,7,10,14,10,7,6,7,10,5,5,6,6,7,1,2,2,3,5,3,3,5,2,1,4,6,2,4,3,0,3,3,4,2,0,4,1,3,1,0,3,4,0,0,0,1,2,0,2,1,4,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,7547,16211,29940,41926,132434,79781,91938,199975,244474,554194,276587,2229101,785127,1173096,1401331,662813,369526,656135,448897,339606,293384,465687,223251,242159,136149,141678,92178,104562,85700,50334,83315,46009,31731,35730,25319,23089,21498,17724,18525,12231,16731,11028,8222,9154,7426,6190,6054,5986,4136,4494,3859,3091,2432,3074,2364,2022,2147,1913,1506,1516,1393,1179,1040,1116,941,679,980,622,666,658,438,490,388,488,378,348,372,226,291,247,209,201,204,203,175,158,205,140,149,119,118,124,99,133,89,89,101,65,78,68,52,55,64,44,59,40,48,48,50,40,26,34,42,25,35,26,32,16,21,22,14,29,16,14,26,14,12,15,18,12,15,13,12,10,10,11,6,11,15,13,3,10,4,7,5,8,8,4,11,5,9,9,9,5,9,8,3,5,3,4,4,3,2,4,1,2,2,2,1,3,0,3,3,4,3,1,1,3,4,1,1,3,2,1,1,1,1,0,2,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
